IDH
PaísesIDHRanking IDHVar.
"España [+]0,90425º0"
"Alemania [+]0,9476º2"
"Reino Unido [+]0,93213º-1"
"Francia [+]0,90126º0"
"Italia [+]0,89229º0"
"Portugal [+]0,86438º0"
"Estados Unidos [+]0,92617º0"
"Japón [+]0,91919º-1"
"China [+]0,76185º-2"
"Andorra [+]0,86836º0"
"Emiratos Árabes Unidos [+]0,89031º1"
"Afganistán [+]0,511169º0"
"Antigua y Barbuda [+]0,77878º0"
"Albania [+]0,79569º1"
"Armenia [+]0,77681º1"
"Angola [+]0,581148º3"
"Argentina [+]0,84546º0"
"Austria [+]0,92218º0"
"Australia [+]0,9448º1"
"Azerbaiyán [+]0,75688º0"
"Bosnia y Herzegovina [+]0,78073º0"
"Barbados [+]0,81458º-2"
"Bangladés [+]0,632133º-1"
"Bélgica [+]0,93114º1"
"Burkina Faso [+]0,452182º-1"
"Bulgaria [+]0,81656º0"
"Baréin [+]0,85242º1"
"Burundi [+]0,433185º1"
"Benín [+]0,545158º0"
"Brunéi [+]0,83847º0"
"Bolivia [+]0,718107º-1"
"Brasil [+]0,76584º0"
"Bahamas [+]0,81458º0"
"Bután [+]0,654129º0"
"Botsuana [+]0,735100º-2"
"Bielorrusia [+]0,82353º4"
"Belice [+]0,716110º2"
"Canadá [+]0,92916º2"
"República Democrática del Congo [+]0,480175º1"
"República Centroafricana [+]0,397188º0"
"República del Congo [+]0,574149º0"
"Suiza [+]0,9552º0"
"Costa de Marfil [+]0,538162º1"
"Chile [+]0,85143º0"
"Camerún [+]0,563153º0"
"Colombia [+]0,76783º0"
"Costa Rica [+]0,81062º1"
"Cuba [+]0,78370º-1"
"Cabo Verde [+]0,665126º1"
"Chipre [+]0,88733º1"
"Chequia [+]0,90027º1"
"Yibuti [+]0,524166º0"
"Dinamarca [+]0,94010º0"
"Dominica [+]0,74294º0"
"República Dominicana [+]0,75688º-1"
"Argelia [+]0,74891º0"
"Ecuador [+]0,75986º2"
"Estonia [+]0,89229º-1"
"Egipto [+]0,707116º-1"
"Eritrea [+]0,459180º0"
"Etiopía [+]0,485173º-1"
"Finlandia [+]0,93811º0"
"Fiyi [+]0,74393º0"
"Estados Federados de Micronesia [+]0,620136º0"
"Gabón [+]0,703119º0"
"Granada [+]0,77974º-2"
"Georgia [+]0,81261º-2"
"Ghana [+]0,611138º0"
"Gambia [+]0,496172º0"
"Guinea [+]0,477178º1"
"Guinea Ecuatorial [+]0,592145º0"
"Grecia [+]0,88832º-1"
"Guatemala [+]0,663127º-1"
"Guinea-Bisáu [+]0,480175º-3"
"Guyana [+]0,682122º1"
"Hong Kong [+]0,9494º0"
